/* DATA DESCRIPTION:
Citation:	Acuña-Ruz, Tomás; Mattar B, Cristian (2020): Thermal infrared spectral database of marine litter debris in Archipelago of Chiloé, Chile [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.919536
Abstract:	This database contain 76 spectral signatures gathered in archipelago of Chiloé, Chile. In particularly, correspond to natural samples of sand as well as anthropogenic marine debris samples of buoys, ropes, nets and Styrofoam. The data set was obtain with HyLogger3® sensor, which have a spectral resolution of 25 nm in the thermal infrared [6000-14,500 nm], use main for mining and geological spectral characterization. We use this materials to develop a machine learning algorith for marine debris over beachs. We detect more than 50 Tons (over an area of ~10 km2).
Keyword(s):	AMD; Chile; HyLogger3; Litter; Marine Debris; Spectral Signatures; TIR
Related to:	Acuña-Ruz, Tomás; Uribe, Diego; Taylor, Richard; Amézquita, Lucas; Guzmán, María Cristina; Merrill, Javier; Martínez, Paula; Voisin, Leandro; Mattar B, Cristian (2018): Anthropogenic marine debris over beaches: Spectral characterization for remote sensing applications. Remote Sensing of Environment, 217, 309-322, https://doi.org/10.1016/j.rse.2018.08.008
Further details:	kml file of samples (URI: https://store.pangaea.de/Publications/Acuna-etal_2020/Samples_2017.kml)
	Pictures of sampled material (URI: https://store.pangaea.de/Publications/Acuna-etal_2020/Acuna_pictures.zip)
Coverage:	MEDIAN LATITUDE: -42.598407 * MEDIAN LONGITUDE: -73.525593 * SOUTH-BOUND LATITUDE: -42.684600 * WEST-BOUND LONGITUDE: -73.785000 * NORTH-BOUND LATITUDE: -42.505000 * EAST-BOUND LONGITUDE: -73.434301
Event(s):	Chiloe_alga (alga) * LATITUDE: -42.565442 * LONGITUDE: -73.441250 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_b01 (b01) * LATITUDE: -42.674319 * LONGITUDE: -73.524840 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Apabón
	Chiloe_b02 (b02) * LATITUDE: -42.564304 * LONGITUDE: -73.438921 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_b03 (b03) * LATITUDE: -42.564304 * LONGITUDE: -73.438921 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_b04 (b04) * LATITUDE: -42.565272 * LONGITUDE: -73.440767 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_b05 (b05) * LATITUDE: -42.674319 * LONGITUDE: -73.524840 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Apabón
	Chiloe_b06 (b06) * LATITUDE: -42.674319 * LONGITUDE: -73.524840 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Apabón
	Chiloe_b07 (b07) * LATITUDE: -42.684070 * LONGITUDE: -73.541500 * LOCATION: Chiloé, Chile * COMMENT: Beach: Detif
	Chiloe_c01 (c01) * LATITUDE: -42.674319 * LONGITUDE: -73.524840 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Apabón
	Chiloe_c02 (c02) * LATITUDE: -42.674319 * LONGITUDE: -73.524840 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Apabón
	Chiloe_c03 (c03) * LATITUDE: -42.564304 * LONGITUDE: -73.438921 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_c04 (c04) * LATITUDE: -42.684070 * LONGITUDE: -73.541500 * LOCATION: Chiloé, Chile * COMMENT: Beach: Detif
	Chiloe_conc (conc) * LATITUDE: -42.684247 * LONGITUDE: -73.542478 * LOCATION: Chiloé, Chile * COMMENT: Beach: Playa Detif
	Chiloe_f01 (f01) * LATITUDE: -42.684070 * LONGITUDE: -73.541500 * LOCATION: Chiloé, Chile * COMMENT: Beach: Detif
	Chiloe_f02 (f02) * LATITUDE: -42.674319 * LONGITUDE: -73.524840 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Apabón
	Chiloe_f03 (f03) * LATITUDE: -42.565254 * LONGITUDE: -73.440800 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_f04 (f04) * LATITUDE: -42.564696 * LONGITUDE: -73.439532 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_f05 (f05) * LATITUDE: -42.564696 * LONGITUDE: -73.439532 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_f06 (f06) * LATITUDE: -42.684070 * LONGITUDE: -73.541500 * LOCATION: Chiloé, Chile * COMMENT: Beach: Detif
	Chiloe_f07 (f07) * LATITUDE: -42.684070 * LONGITUDE: -73.541500 * LOCATION: Chiloé, Chile * COMMENT: Beach: Detif
	Chiloe_n04 (n04) * LATITUDE: -42.524000 * LONGITUDE: -73.785000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta pehuque a Punta Yutuy
	Chiloe_n08 (n08) * LATITUDE: -42.566000 * LONGITUDE: -73.442000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_n17 (n17) * LATITUDE: -42.516000 * LONGITUDE: -73.762000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Yutuy
	Chiloe_n20 (n20) * LATITUDE: -42.595400 * LONGITUDE: -73.678200 * LOCATION: Chiloé, Chile * COMMENT: Beach: PQL
	Chiloe_n24 (n24) * LATITUDE: -42.505000 * LONGITUDE: -73.747000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Chañihue
	Chiloe_n26 (n26) * LATITUDE: -42.566000 * LONGITUDE: -73.442000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_n28 (n28) * LATITUDE: -42.566000 * LONGITUDE: -73.442000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_n31 (n31) * LATITUDE: -42.524000 * LONGITUDE: -73.785000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta pehuque a Punta Yutuy
	Chiloe_n33 (n33) * LATITUDE: -42.566000 * LONGITUDE: -73.442000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_n35 (n35) * LATITUDE: -42.566000 * LONGITUDE: -73.442000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_n37 (n37) * LATITUDE: -42.570462 * LONGITUDE: -73.434301 * LOCATION: Chiloé, Chile * COMMENT: Beach: Playa Matao
	Chiloe_n44 (n44) * LATITUDE: -42.524000 * LONGITUDE: -73.785000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta pehuque a Punta Yutuy
	Chiloe_n47 (n47) * LATITUDE: -42.566000 * LONGITUDE: -73.442000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta Cuem
	Chiloe_n52 (n52) * LATITUDE: -42.505000 * LONGITUDE: -73.747000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Chañihue
	Chiloe_n54 (n54) * LATITUDE: -42.505000 * LONGITUDE: -73.747000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Chañihue
	Chiloe_n58 (n58) * LATITUDE: -42.524000 * LONGITUDE: -73.785000 * LOCATION: Chiloé, Chile * COMMENT: Beach: Punta pehuque a Punta Yutuy
